2018.09.16.12.35.57, PEER_DISCOVERED, 9674209819, 192.168.43.197
2018.09.16.12.36.01, SUMMARY_VECTOR_RECEIVED, 7796
2018.09.16.12.36.06, CHECKING OLD LOG FILES IF ANY
2018.09.16.12.36.06, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.16.12.36.06, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.16.12.36.06, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.16.12.36.06, DEBUG Controller MISSING FILE START DOWNLOAD pub_9674209819.bgp -1.0
2018.09.16.12.36.06, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.09.16.12.36.06, START_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 0, 680.0, 9674209819
2018.09.16.12.36.17, START_FILE_DOWNLOAD, b19779a4321c7f97ddd9abdac3298bb0, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_5.diff, 0, 787.0, 192.168.43.197
2018.09.16.12.36.17, START_FILE_DOWNLOAD, 035489be7e075265b1032bd58754f, pub_user.bgp, 0, 313.0, 9674209819
2018.09.16.12.36.17, START_FILE_DOWNLOAD, 2e6eafc415679fdca1f68beb0189ac6, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_9b1c7a86393453d2.jpeg, 0, 178101.0, 192.168.43.197
2018.09.16.12.36.17, START_FILE_DOWNLOAD, 3d71efe1663395c49636e1b42253a3, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_4.diff, 0, 428.0, 192.168.43.197
2018.09.16.12.36.17, STOP_FILE_DOWNLOAD, b19779a4321c7f97ddd9abdac3298bb0, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_5.diff, 787, 787.0, 192.168.43.197
2018.09.16.12.36.17, STOP_FILE_DOWNLOAD, 035489be7e075265b1032bd58754f, pub_user.bgp, 313, 313.0, 9674209819
2018.09.16.12.36.17, STOP_FILE_DOWNLOAD, 4331831d9f92adf2ce83626126eabac, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_2.diff, 292, 292.0, 192.168.43.197
2018.09.16.12.36.17, STOP_FILE_DOWNLOAD, 3d71efe1663395c49636e1b42253a3, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_4.diff, 428, 428.0, 192.168.43.197
2018.09.16.12.36.17, STOP_FILE_DOWNLOAD, b3bca64ec3a4025c15cb01acce5692f, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_1b37d528cfeb9c1d.png, 76911, 76911.0, 192.168.43.197
2018.09.16.12.36.17, STOP_FILE_DOWNLOAD, cdae23e90a68185f2f1b37762445d1, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_1e165dd12bb3935f.jpeg, 170902, 170902.0, 192.168.43.197
2018.09.16.12.36.17, STOP_FILE_DOWNLOAD, e8c0a7b335c4e3cc5a2af59bac92db1, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_733a69370ac02147.jpeg, 198015, 198015.0, 192.168.43.197
2018.09.16.12.36.17, STOP_FILE_DOWNLOAD, 2e6eafc415679fdca1f68beb0189ac6, 2b1c2633266c5eb24f036209a3f01e86_v9674209819_volunteer_50_9b1c7a86393453d2.jpeg, 178101, 178101.0, 192.168.43.197
2018.09.16.12.36.32, SUMMARY_VECTOR_RECEIVED, 7796
2018.09.16.12.36.36, CHECKING OLD LOG FILES IF ANY
2018.09.16.12.36.36, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209819_20180916122619.txt 9.999999999999998E13
2018.09.16.12.36.36, START_FILE_DOWNLOAD, 9cb1c6efd74c92a4973dd1c5c7a4cc77, MapDisarm_Log_9674209819_20180916122619.txt, 0, 7479.0, 9674209819
2018.09.16.12.36.36, STOP_FILE_DOWNLOAD, 9cb1c6efd74c92a4973dd1c5c7a4cc77, MapDisarm_Log_9674209819_20180916122619.txt, 7479, 7479.0, 9674209819
2018.09.16.12.36.41, KEEPING LOGMapDisarm_Log_9674209819_20180916122619.txt
