2018.09.19.14.33.26, START_FILE_DOWNLOAD, ff3d778defd3b1aff825495a2340293b, MapDisarm_Log_9674209814_20180920182901.txt, 0, 1354022.0, 9674209814
2018.09.19.14.33.26, STOP_FILE_DOWNLOAD, ff3d778defd3b1aff825495a2340293b, MapDisarm_Log_9674209814_20180920182901.txt, 1354022, 1354022.0, 9674209814
2018.09.19.14.33.31, KEEPING LOGMapDisarm_Log_9674209814_20180920182901.txt
2018.09.19.14.33.31, REMOVING LOGMapDisarm_Log_9674209814_20180209160441.txt
2018.09.19.14.33.31, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.32, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.14.33.32, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.14.33.32, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.14.33.32, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.14.33.32, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.14.33.32, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.14.33.32, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.14.33.32, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.14.33.36, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.41, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.41, SUMMARY_VECTOR_RECEIVED, 6316
2018.09.19.14.33.46, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.51, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.56, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.58, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.14.33.58, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.14.33.58, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.14.33.58, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.14.33.58, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.14.33.58, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.14.33.58, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.14.33.58, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.14.34.01, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.34.01, SUMMARY_VECTOR_RECEIVED, 6316
2018.09.19.14.34.06, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.34.11, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.34.16, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.34.21, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.34.22, PEER_LOST, 9674209814, 192.168.43.208
2018.09.19.14.34.24, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.14.34.24, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.14.34.24, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.14.34.24, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.14.34.24, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.14.34.24, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.14.34.24, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
