2018.09.07.21.40.14, PEER_DISCOVERED, null, 192.168.43.235
2018.09.07.21.40.19, SUMMARY_VECTOR_RECEIVED, 57821
2018.09.07.21.40.23, CHECKING OLD LOG FILES IF ANY
2018.09.07.21.40.23, CHECKING OLD LOG FILES IF ANY
2018.09.07.21.40.23, CHECKING OLD LOG FILES IF ANY
2018.09.07.21.40.23, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.07.21.40.23, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.07.21.40.23, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.09.07.21.40.23, DEBUG Controller MISSING FILE START DOWNLOAD pub_9674209816.bgp -1.0
2018.09.07.21.40.23, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.07.21.40.23, START_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 0, 310.0, null
2018.09.07.21.40.23, STOP_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 310, 310.0, null
2018.09.07.21.40.23, START_FILE_DOWNLOAD, a0d12ea50d2b8c3738c919e58324, pub_volunteer.bgp, 0, 312.0, null
2018.09.07.21.40.23, STOP_FILE_DOWNLOAD, a0d12ea50d2b8c3738c919e58324, pub_volunteer.bgp, 312, 312.0, null
2018.09.07.21.40.23, START_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 0, 680.0, null
2018.09.07.21.40.23, STOP_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 680, 680.0, null
2018.09.07.21.40.23, START_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 0, 683.0, null
2018.09.07.21.40.23, STOP_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 683, 683.0, null
2018.09.07.21.40.23, START_FILE_DOWNLOAD, e5124024cf4baf1c074c2119c2bfb86, pub_9674209816.bgp, 0, 313.0, null
2018.09.07.21.40.23, STOP_FILE_DOWNLOAD, e5124024cf4baf1c074c2119c2bfb86, pub_9674209816.bgp, 313, 313.0, null
2018.09.07.21.40.28, SUMMARY_VECTOR_RECEIVED, 57821
2018.09.07.21.40.33, CHECKING OLD LOG FILES IF ANY
2018.09.07.21.40.33, CHECKING OLD LOG FILES IF ANY
2018.09.07.21.40.33, CHECKING OLD LOG FILES IF ANY
2018.09.07.21.40.33, DEBUG Controller MISSING FILE START DOWNLOAD pub_7100000001.bgp -1.0
2018.09.07.21.40.33, DEBUG Controller MISSING FILE START DOWNLOAD pri_volunteer.bgp -1.0
2018.09.07.21.40.33, DEBUG Controller MISSING FILE START DOWNLOAD pub_user.bgp -1.0
2018.09.07.21.40.33, DEBUG Controller MISSING FILE START DOWNLOAD pub_8981775377.bgp -1.0
2018.09.07.21.40.33, DEBUG Controller MISSING FILE START DOWNLOAD pub_7318831572.bgp -1.0
2018.09.07.21.40.33, START_FILE_DOWNLOAD, 1a2dbeb04fb317b23358a57437eef61a, pub_8981775377.bgp, 0, 313.0, null
2018.09.07.21.40.33, START_FILE_DOWNLOAD, 137fc3f09728b73f1e32574f11578, pri_volunteer.bgp, 0, 682.0, null
2018.09.07.21.40.33, START_FILE_DOWNLOAD, 1b14982ab99fa4b921225b87549ead24, pub_7100000001.bgp, 0, 313.0, null
2018.09.07.21.40.33, START_FILE_DOWNLOAD, 71dcf2cb26564c01d6252a0fe2ab69, pub_7318831572.bgp, 0, 313.0, null
2018.09.07.21.40.33, STOP_FILE_DOWNLOAD, 1a2dbeb04fb317b23358a57437eef61a, pub_8981775377.bgp, 313, 313.0, null
