2018.09.15.18.50.14, PEER_DISCOVERED, 8100000004, 192.168.43.197
2018.09.15.18.50.17, SUMMARY_VECTOR_RECEIVED, 8670
2018.09.15.18.50.22, CHECKING OLD LOG FILES IF ANY
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pub_8100000004.bgp -1.0
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pri_volunteer.bgp -1.0
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.15.18.50.22, START_FILE_DOWNLOAD, 8515fc2dc7c06bafadc868b3bdf2db47, pub_8100000004.bgp, 0, 313.0, 8100000004
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, daad979dfa1ef9218f9715663870c815, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_4.diff, 724, 724.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, 2c17b71f17e02fb3375c44b852b89a1f, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_3.diff, 372, 372.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, 5e68a0d2caca52959945f85ebe4aeac, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_5.diff, 771, 771.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, a0d12ea50d2b8c3738c919e58324, pub_volunteer.bgp, 312, 312.0, 8100000004
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, 8cd0de28862df0943ea25ec182aae, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_1.diff, 219, 219.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, 3c7631c48f9d52653c9212dc95e9a4, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_6.diff, 954, 954.0, 192.168.43.197
2018.09.15.18.50.32, START_FILE_DOWNLOAD, 66336b8aa538c7177a36046ba0d2, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_a1d964d1afecf06b.jpeg, 0, 171841.0, 192.168.43.197
2018.09.15.18.50.32, START_FILE_DOWNLOAD, 55f91b27d81996b7f5057ae589484a9, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_2.diff, 0, 307.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, 55f91b27d81996b7f5057ae589484a9, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_2.diff, 307, 307.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, b2dffa293796d47014e084d1cd1c69, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_c778e86f7aee2026.png, 90610, 90610.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, a9395560985a78f62ebf41357785251e, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_7b0d999a3fe16fec.png, 108346, 108346.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, f271531d9344b5c0872518ee9993afc8, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_35daaa31d2425805.png, 127703, 127703.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, 3026b8b1e07e1c75cc7d689cf98e33de, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_2da7fec904c71ecc.jpeg, 182852, 182852.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, 8bcf7da2e38b4c7609587368f6854a, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_2ba1beb609fa1138.jpeg, 197494, 197494.0, 192.168.43.197
2018.09.15.18.50.32, STOP_FILE_DOWNLOAD, 66336b8aa538c7177a36046ba0d2, 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50_a1d964d1afecf06b.jpeg, 171841, 171841.0, 192.168.43.197
2018.09.15.18.50.47, SUMMARY_VECTOR_RECEIVED, 8670
2018.09.15.18.50.52, CHECKING OLD LOG FILES IF ANY
2018.09.15.18.50.52, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_8100000004_20180915175712.txt 9.999999999999998E13
2018.09.15.18.50.52, START_FILE_DOWNLOAD, 0d2bdb53b85e6249ccd345b4226edc, MapDisarm_Log_8100000004_20180915175712.txt, 0, 9581.0, 8100000004
2018.09.15.18.50.52, STOP_FILE_DOWNLOAD, 0d2bdb53b85e6249ccd345b4226edc, MapDisarm_Log_8100000004_20180915175712.txt, 9581, 9581.0, 8100000004
2018.09.15.18.50.57, KEEPING LOGMapDisarm_Log_8100000004_20180915175712.txt
2018.09.15.18.51.07, SUMMARY_VECTOR_RECEIVED, 8670
2018.09.15.18.51.27, SUMMARY_VECTOR_RECEIVED, 8670
2018.09.15.18.51.47, SUMMARY_VECTOR_RECEIVED, 8670
