2018.09.24.21.44.40, PEER_DISCOVERED, 9674209814, 192.168.43.208
2018.09.24.21.44.41, SUMMARY_VECTOR_RECEIVED, 17003
2018.09.24.21.44.46, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_9674209814.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 29381fb4f751e28562eef9ec753e0ef, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_9.diff, 1368, 1368.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 8966a93f57ca930de9faed12289d320, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_3.diff, 0, 528.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, d6631c66e6b7d3b5f58387ea95248fa, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_7.diff, 0, 1102.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 8966a93f57ca930de9faed12289d320, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_3.diff, 528, 528.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, b550ef993e7ff2e71695c52f3d10b878, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_15.diff, 0, 2037.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 8385535c85368bf0eeb5dd6071761e, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_16.diff, 0, 2104.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 3632326f67f8c19ac6318dda293b9fa, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_8.diff, 0, 1288.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, b550ef993e7ff2e71695c52f3d10b878, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_15.diff, 2037, 2037.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 8385535c85368bf0eeb5dd6071761e, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_16.diff, 2104, 2104.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 3632326f67f8c19ac6318dda293b9fa, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_8.diff, 1288, 1288.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, decc1ed18c916a24547c89c619699, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_2.diff, 0, 445.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, decc1ed18c916a24547c89c619699, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_2.diff, 445, 445.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 31d5af6f76ec6c5535ed5be4fca5b6bc, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_74f0749111f4970b.jpeg, 235492, 235492.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 1612bbcabc28f359dce4ce1592cd49b2, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_5c2fb79f898e28a1.png, 0, 88048.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, d6631c66e6b7d3b5f58387ea95248fa, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_7.diff, 1102, 1102.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 40288be0d1e362ae3e0c1e43e526e0, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_11.diff, 0, 1640.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 953d249d37b3b0e45b58f99f17a7c5bf, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_4.diff, 0, 763.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 2589b39233468883fd8113b54432a553, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_14.diff, 0, 1972.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 40288be0d1e362ae3e0c1e43e526e0, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_11.diff, 1640, 1640.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 953d249d37b3b0e45b58f99f17a7c5bf, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_4.diff, 763, 763.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 3a8f465fb1e9d76b23bb98cb023cd, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_12.diff, 0, 1702.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 99e9f2739e802222bf4415b7bd5245aa, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_88c9667e12783d92.png, 0, 123246.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, a2a2306242461934c4eb1c94e5fdd918, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_d1be937802b0e1d7.png, 159268, 159268.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 9e78bd650d480d39939b3346165f53, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_23205e1fc2dd2e5e.png, 0, 147688.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, e9cbcae45f7cd6c9d656e07436d1a11c, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_10.diff, 0, 1566.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 3a8f465fb1e9d76b23bb98cb023cd, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_12.diff, 1702, 1702.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 425c9debd1944f5944f7e80ab5b7998, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_e2ad8b65ca57a46.jpeg, 0, 178069.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 2589b39233468883fd8113b54432a553, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_14.diff, 1972, 1972.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, ff5ec05e72daaea1146196564d2270f9, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_9557a537ff8d5a60.png, 0, 101100.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, c7bc85a66b4d39714e31b6179c6f7d, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_2149ce1836d7f648.jpeg, 0, 233815.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, a7f2065975f503f2b13f092e315c4, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_6.diff, 0, 1027.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, e9cbcae45f7cd6c9d656e07436d1a11c, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_10.diff, 1566, 1566.0, 192.168.43.208
